dataset,competence,distance,mean,median,std,duration
triazines,knn,Cityblock,0.0152,0.0129,0.0088,20.2029
triazines,cluster,Cityblock,0.0161,0.0137,0.0097,20.8047
triazines,output_profiles,Cityblock,0.0162,0.0134,0.01,23.3439
triazines,knn,Cosine,0.0162,0.0135,0.0096,20.0087
triazines,cluster,Cosine,0.0158,0.0126,0.0093,21.732
triazines,output_profiles,Cosine,0.0161,0.0134,0.0095,23.7404
triazines,knn,Euclidean,0.0161,0.0128,0.0093,19.0241
triazines,cluster,Euclidean,0.0152,0.0125,0.009,20.097
triazines,output_profiles,Euclidean,0.0156,0.013,0.0092,23.4837
triazines,knn,Minkowski,0.0152,0.0134,0.0083,18.9652
triazines,cluster,Minkowski,0.0149,0.0125,0.0089,21.6499
triazines,output_profiles,Minkowski,0.0157,0.0132,0.0091,22.9295
triazines,knn,Sqeuclidean,0.0157,0.0131,0.009,18.9914
triazines,cluster,Sqeuclidean,0.0157,0.0129,0.0089,20.7189
triazines,output_profiles,Sqeuclidean,0.0156,0.0127,0.0095,21.8185
wine_quality_red,knn,Braycurtis,0.3188,0.3215,0.0457,308.364
wine_quality_red,cluster,Braycurtis,0.3227,0.3142,0.045,514.5949
wine_quality_red,output_profiles,Braycurtis,0.3225,0.3216,0.0444,354.12
wine_quality_red,knn,Canberra,0.3208,0.3196,0.0499,538.6212
wine_quality_red,cluster,Canberra,0.3227,0.3235,0.0463,524.4151
wine_quality_red,output_profiles,Canberra,0.3254,0.3289,0.0454,412.5807
wine_quality_red,knn,Chebyshev,0.3231,0.3198,0.0475,234.0027
wine_quality_red,cluster,Chebyshev,0.3231,0.3259,0.0434,514.5365
wine_quality_red,output_profiles,Chebyshev,0.3173,0.3154,0.0473,361.5227
wine_quality_red,knn,Cityblock,0.316,0.3186,0.0427,240.1165
wine_quality_red,cluster,Cityblock,0.3261,0.3216,0.0457,518.0136
wine_quality_red,output_profiles,Cityblock,0.3219,0.3218,0.0446,332.3674
wine_quality_red,knn,Cosine,0.3163,0.3113,0.0437,350.8692
wine_quality_red,cluster,Cosine,0.321,0.3205,0.0442,525.2422
wine_quality_red,output_profiles,Cosine,0.323,0.3226,0.0472,376.653
wine_quality_red,knn,Euclidean,0.3208,0.3167,0.0454,279.6163
wine_quality_red,cluster,Euclidean,0.3214,0.3158,0.0442,515.2071
wine_quality_red,output_profiles,Euclidean,0.3215,0.3176,0.0482,349.0236
wine_quality_red,knn,Minkowski,0.3151,0.3113,0.0436,277.9435
wine_quality_red,cluster,Minkowski,0.3282,0.3312,0.046,512.4392
wine_quality_red,output_profiles,Minkowski,0.3247,0.319,0.044,356.3488
wine_quality_red,knn,Sqeuclidean,0.3177,0.3181,0.0455,248.272
wine_quality_red,cluster,Sqeuclidean,0.3258,0.3283,0.0463,508.5714
wine_quality_red,output_profiles,Sqeuclidean,0.3208,0.3232,0.0443,347.3957
yatch,knn,Braycurtis,0.8796,0.7973,0.6085,33.4888
yatch,cluster,Braycurtis,0.9021,0.803,0.6245,39.2806
yatch,output_profiles,Braycurtis,2.0213,0.9396,3.3806,36.4703
yatch,knn,Canberra,0.8841,0.8121,0.5938,37.0357
yatch,cluster,Canberra,0.9826,0.8932,0.6538,38.62
yatch,output_profiles,Canberra,0.9773,0.8069,0.7594,37.2988
yatch,knn,Chebyshev,1.0348,0.7882,0.7795,31.6272
yatch,cluster,Chebyshev,0.894,0.7392,0.6141,39.1039
yatch,output_profiles,Chebyshev,1.1257,0.9443,0.8866,38.2301
yatch,knn,Cityblock,1.0079,0.7766,0.7148,30.8764
yatch,cluster,Cityblock,0.8757,0.6797,0.6207,41.1524
yatch,output_profiles,Cityblock,1.2423,0.864,1.6891,36.5325
yatch,knn,Cosine,0.9536,0.7773,0.6575,33.7617
yatch,cluster,Cosine,0.9304,0.7376,0.7637,42.721
yatch,output_profiles,Cosine,1.1082,0.9677,0.8297,40.7894
yatch,knn,Euclidean,0.9854,0.8668,0.6397,34.9412
yatch,cluster,Euclidean,0.8847,0.6959,0.5989,43.262
yatch,output_profiles,Euclidean,0.9581,0.9307,0.6829,40.1494
yatch,knn,Minkowski,1.0706,0.904,0.7388,33.032
yatch,cluster,Minkowski,0.8938,0.7378,0.6944,44.6423
yatch,output_profiles,Minkowski,1.0545,0.8622,0.8417,38.856
yatch,knn,Sqeuclidean,1.3385,0.9129,1.7303,31.1254
yatch,cluster,Sqeuclidean,0.9036,0.7927,0.6496,39.9546
yatch,output_profiles,Sqeuclidean,0.8849,0.714,0.6334,37.6456
